Time,JUNCTION-30,JUNCTION-16,JUNCTION-20,JUNCTION-45,JUNCTION-90
3.408003257377067552e+00,1.800970933130477079e+02,2.633543367861250886e+02,2.630516037265185219e+02,3.539202884249479553e+02,2.639872586814585134e+02
3.415644520285984864e+00,1.803066529119568884e+02,2.633543359738111462e+02,2.630390812164179124e+02,3.539189104745026384e+02,2.639845332615440725e+02
3.423285783194901732e+00,1.805459008765719489e+02,2.633543333867255001e+02,2.630260382338431668e+02,3.539175202272537604e+02,2.639816613285088351e+02
3.430927046103819045e+00,1.808175090579906339e+02,2.633543343789165760e+02,2.630124228193453746e+02,3.539160726516355453e+02,2.639785525675220583e+02
3.438568309012736357e+00,1.811289611987713783e+02,2.633543346765583806e+02,2.629981641144352125e+02,3.539144954678935164e+02,2.639753763955609429e+02
3.446209571921653669e+00,1.814849880149291153e+02,2.633543354420684750e+02,2.629831756500998381e+02,3.539129704695516807e+02,2.639722629266581748e+02
3.453850834830570538e+00,1.818948955771753901e+02,2.633543345064312575e+02,2.629675208684820973e+02,3.539112309904649010e+02,2.639691306882854178e+02
3.461492097739487850e+00,1.823648454499470972e+02,2.633543338937932958e+02,2.629510760499752564e+02,3.539101739749187345e+02,2.639656463716643771e+02
3.469133360648405162e+00,1.829082290272340856e+02,2.633543329616165352e+02,2.629337668910960701e+02,3.539084688774934762e+02,2.639620517942314564e+02
3.476774623557322030e+00,1.835347757845219405e+02,2.633543321609418513e+02,2.629155925946094499e+02,3.539066394516207765e+02,2.639582790484488442e+02
3.484415886466239343e+00,1.842579764091578340e+02,2.633543313183261603e+02,2.628965523816796122e+02,3.539047661378605767e+02,2.639542760483498682e+02
3.492057149375156655e+00,1.846700507921785004e+02,2.633543320819113660e+02,2.628764192578267966e+02,3.539027596640562479e+02,2.639502095555337746e+02
3.499698412284073967e+00,1.851454738615878171e+02,2.633543341884902134e+02,2.628553301494997072e+02,3.539009267869953419e+02,2.639460274694032478e+02
3.507339675192990835e+00,1.856924348110681535e+02,2.633543344509257622e+02,2.628331217117348615e+02,3.538989849119126347e+02,2.639415343624845605e+02
3.514980938101908148e+00,1.863284831397193102e+02,2.633543364793837895e+02,2.628097874170325667e+02,3.538970442001975698e+02,2.639368882081500942e+02
3.522622201010825460e+00,1.870475606354468709e+02,2.633543377839790764e+02,2.627850837476627248e+02,3.538950864587357046e+02,2.639318860086887071e+02
3.530263463919742772e+00,1.878885362780978028e+02,2.633543362929286786e+02,2.627590231402980407e+02,3.538929223606173196e+02,2.639267341522196944e+02
3.537904726828659641e+00,1.889575359630338482e+02,2.633543362974751290e+02,2.627604368683344092e+02,3.538907767829024351e+02,2.639214746380782799e+02
3.545545989737576953e+00,1.902069470663018365e+02,2.633543333065296110e+02,2.627329400106737012e+02,3.538890130985814721e+02,2.639156132583976841e+02
3.553187252646494265e+00,1.916758248184654292e+02,2.633543331715219438e+02,2.627036822883512173e+02,3.538869312699758893e+02,2.639095411239285340e+02
3.560828515555411133e+00,1.934030842928183631e+02,2.633543316419256826e+02,2.626728215174136380e+02,3.538848274285711000e+02,2.639032539572510245e+02
3.568469778464328446e+00,1.952166962482655777e+02,2.633543323852239837e+02,2.626398985238976707e+02,3.538822410902918705e+02,2.638966204329173593e+02
3.576111041373245758e+00,1.974654137900787987e+02,2.633543345016759076e+02,2.626050282083065213e+02,3.538797110205786112e+02,2.638897917873297843e+02
3.583752304282163070e+00,2.001448129847391613e+02,2.633543327987089810e+02,2.625677099984788470e+02,3.538771221796744157e+02,2.638857339129020261e+02
3.591393567191079939e+00,2.033062391231714230e+02,2.633543338364780766e+02,2.625281021857588257e+02,3.538742568536596877e+02,2.638787197153632746e+02
3.599034830099997251e+00,2.039162583367443062e+02,2.633543339872572915e+02,2.624843472088609815e+02,3.538713894880938255e+02,2.638709121956622425e+02
3.606676093008914563e+00,2.046245887114497179e+02,2.633543355289533565e+02,2.624389754134257942e+02,3.538681327224532538e+02,2.638628121640980453e+02
3.614317355917831875e+00,2.054741093300973205e+02,2.633543359255961036e+02,2.623903103283208225e+02,3.538735115810929983e+02,2.638546800018518752e+02
3.621958618826748744e+00,2.064923806367536656e+02,2.633543338195669321e+02,2.623383261170708920e+02,3.538793770201737630e+02,2.638458352966868006e+02
3.629599881735666056e+00,2.062717706046892090e+02,2.633543348508548547e+02,2.622817119916489901e+02,3.538851410932952035e+02,2.638363587245264057e+02
3.637241144644583368e+00,2.060677125817280455e+02,2.633543375039869261e+02,2.622218284080053081e+02,3.538908363060239708e+02,2.638265073662708460e+02
3.644882407553500681e+00,2.060969655515310421e+02,2.633543375599427350e+02,2.621572842436174255e+02,3.538964853904266761e+02,2.638162240236799221e+02
3.652523670462417549e+00,2.061290681240502067e+02,2.633543373484055792e+02,2.620894426441145129e+02,3.539019127481415126e+02,2.638052975663991901e+02
3.660164933371334861e+00,2.060956733018830676e+02,2.633543374540653872e+02,2.620141917821894140e+02,3.539081941318697773e+02,2.637939851319170543e+02
3.667806196280252173e+00,2.061018276777692222e+02,2.633543391981820605e+02,2.619332666248568557e+02,3.539241171125856340e+02,2.637831593788876603e+02
3.675447459189169042e+00,2.062338490799475039e+02,2.633543388321691054e+02,2.618454471050156371e+02,3.539308990307918634e+02,2.637698007727329355e+02
3.683088722098086354e+00,2.065900409734629477e+02,2.633543373068687288e+02,2.617500484877737108e+02,3.539261024992403009e+02,2.637564918939070253e+02
3.690729985007003666e+00,2.068186524720967441e+02,2.633543379293186035e+02,2.616461906737066556e+02,3.539322674933322332e+02,2.637427886471157308e+02
3.698371247915920978e+00,2.070831623943172701e+02,2.633543373699973813e+02,2.615328791605359697e+02,3.539384211328682568e+02,2.637281336232213107e+02
3.706012510824837847e+00,2.073891559412905110e+02,2.633543359643866211e+02,2.614089303451524984e+02,3.539443444874538613e+02,2.637122700798644814e+02
3.713653773733755159e+00,2.077412822521556279e+02,2.633543349426637974e+02,2.612736988160810938e+02,3.539492669087346712e+02,2.636955879399554306e+02
3.721295036642672471e+00,2.078896687820532350e+02,2.633543340882425809e+02,2.611233966452847994e+02,3.539548043837106093e+02,2.636771815536595795e+02
3.728936299551589784e+00,2.080599242652708654e+02,2.633543313570015130e+02,2.609593344844847138e+02,3.539590394879437554e+02,2.636578198698122151e+02
3.736577562460506652e+00,2.082561668704674105e+02,2.633543287871551684e+02,2.607779037911944897e+02,3.539639794324280047e+02,2.636376479637903572e+02
3.744218825369423964e+00,2.084834436421267867e+02,2.633543290981748441e+02,2.605776207722643107e+02,3.539685543725382786e+02,2.636165018653677521e+02
3.751860088278341276e+00,2.088199431814256855e+02,2.633543297810421109e+02,2.603546505877429809e+02,3.539726968240077554e+02,2.635926205695308226e+02
3.759501351187258145e+00,2.092124169784379717e+02,2.633543300755886776e+02,2.601063888387483871e+02,3.539762690494737285e+02,2.635674720661289143e+02
3.767142614096175457e+00,2.094665764335117899e+02,2.633543295183756072e+02,2.598296557521334762e+02,3.539785366175348145e+02,2.635399549098758598e+02
3.774783877005092769e+00,2.097568635699183233e+02,2.633543281721979952e+02,2.595189443568571619e+02,3.539751072448055993e+02,2.635097842659947105e+02
3.782425139914010082e+00,2.098188536571700524e+02,2.633543269422863773e+02,2.591693179097405277e+02,3.539755262054382001e+02,2.634775008110616454e+02
3.790066402822926950e+00,2.098835351062344046e+02,2.633543271187502341e+02,2.587747340339171274e+02,3.539751884007911258e+02,2.634424190944399697e+02
3.797707665731844262e+00,2.099428663805124700e+02,2.633543273309333586e+02,2.583280306791119187e+02,3.539735880161382511e+02,2.634043840096515510e+02
3.805348928640761574e+00,2.100035545875262244e+02,2.633543274330012309e+02,2.578205025122140910e+02,3.539707020569862834e+02,2.633624546547281398e+02
3.812990191549678887e+00,2.100940493812211400e+02,2.633543271828622778e+02,2.572411309028445316e+02,3.539664860857283202e+02,2.633172144320268444e+02
3.820631454458595755e+00,2.102577967321152812e+02,2.633543267156285310e+02,2.565785634615888853e+02,3.539532373911179093e+02,2.632671716956948558e+02
3.828272717367513067e+00,2.104680357742602155e+02,2.633543265268762639e+02,2.558155667300974017e+02,3.539450548464236022e+02,2.632198647652810450e+02
3.835913980276430379e+00,2.107412901237067615e+02,2.633543276266818793e+02,2.549363507885847753e+02,3.539354224392065476e+02,2.631586905962274727e+02
3.843555243185347248e+00,2.110531549571658161e+02,2.633543266400403127e+02,2.539186887105423693e+02,3.539221740085106944e+02,2.630911056650165847e+02
3.851196506094264560e+00,2.114042884772698017e+02,2.633543275742453034e+02,2.527354315802394353e+02,3.539059674253289813e+02,2.630158045256291075e+02
3.858837769003181872e+00,2.115408207963274378e+02,2.633543296982229549e+02,2.513564334608360014e+02,3.538867555167065575e+02,2.629308814366874003e+02
3.866479031912099185e+00,2.116884621702429854e+02,2.633543290406965980e+02,2.497440893876739096e+02,3.538644277430660736e+02,2.628354298941249567e+02
3.874120294821016053e+00,2.120473603937634266e+02,2.633543307419892585e+02,2.478544528385740762e+02,3.538372020165456888e+02,2.627273387611924136e+02
3.881761557729933365e+00,2.124545764967781167e+02,2.633543285664711675e+02,2.456356937673799621e+02,3.538071248889817184e+02,2.626073810806848314e+02
3.889402820638850677e+00,2.127120286242604266e+02,2.633543272652849510e+02,2.430273637743939901e+02,3.537682766437576447e+02,2.624670249756853195e+02
3.897044083547767990e+00,2.129923675838466295e+02,2.633543278036860329e+02,2.399599559714716861e+02,3.537219970850892992e+02,2.623073726552222524e+02
3.904685346456684858e+00,2.131136532731331386e+02,2.633543283381312108e+02,2.363545031839933586e+02,3.536672512655096057e+02,2.621246689613761305e+02
3.912326609365602170e+00,2.134820941373178869e+02,2.633543323205575462e+02,2.321242997318916252e+02,3.536034957366808271e+02,2.619158676201835192e+02
3.919967872274519483e+00,2.137970364312405138e+02,2.633543324877348937e+02,2.271790280636065518e+02,3.535256826606596974e+02,2.616690406084930487e+02
3.927609135183436351e+00,2.143632643415704138e+02,2.633543320115705342e+02,2.214106341860616567e+02,3.534346099345100924e+02,2.613845375408080827e+02
3.935250398092353663e+00,2.150002634210741519e+02,2.633543311241683114e+02,2.214918516296674511e+02,3.533255403531934462e+02,2.610543685756142054e+02
3.942891661001270975e+00,2.157274389588152417e+02,2.633543327629935220e+02,2.215895939212480528e+02,3.532015365971934102e+02,2.606698116697681940e+02
3.950532923910188288e+00,2.166883039890008718e+02,2.633543327488094974e+02,2.217061230068473776e+02,3.530541284605906753e+02,2.602226847914370182e+02
3.958174186819105156e+00,2.178101975105459189e+02,2.633543330362805932e+02,2.218448959818173307e+02,3.528783651848415275e+02,2.597026497618522853e+02
3.965815449728022468e+00,2.191159749968813912e+02,2.633543337867406535e+02,2.220098221282819679e+02,3.526683229137878470e+02,2.590979478413955235e+02
3.973456712636939780e+00,2.206602307693253238e+02,2.633543331221569588e+02,2.222052474555191282e+02,3.524154116809303900e+02,2.583988912413271919e+02
3.981097975545857093e+00,2.224893390344022350e+02,2.633543350665297567e+02,2.224350325104491617e+02,3.521135581312572640e+02,2.583302439995379132e+02
3.988739238454773961e+00,2.246404178014284696e+02,2.633543363705468323e+02,2.227052931364702886e+02,3.517508412259313673e+02,2.582562005389166870e+02
3.996380501363691273e+00,2.271727883967824653e+02,2.633543360190880662e+02,2.227033613565716621e+02,3.513234271032446259e+02,2.581706712580884187e+02
4.004021764272608586e+00,2.301481786322881646e+02,2.633543344402536945e+02,2.227028737480125642e+02,3.508014313547128040e+02,2.580768596408636881e+02
4.011663027181525898e+00,2.335966622352203785e+02,2.633543334802155869e+02,2.227032994529091923e+02,3.501676096857969469e+02,2.579706990416111125e+02
4.019304290090443210e+00,2.384914763657016010e+02,2.633543315007060528e+02,2.227044192158479916e+02,3.494147416385486622e+02,2.578508922926381501e+02
4.026945552999359634e+00,2.442486597638908847e+02,2.633543334010839203e+02,2.225248745470487393e+02,3.485112652310529029e+02,2.577171261607232395e+02
4.034586815908276947e+00,2.510111681119698801e+02,2.633543350586172664e+02,2.223174880389132682e+02,3.474279034497286602e+02,2.575668196586218528e+02
4.042228078817194259e+00,2.587397385355301367e+02,2.633543347499779088e+02,2.220775072922915854e+02,3.461314042301291352e+02,2.573960200410602965e+02
