Time,JUNCTION-16,JUNCTION-20,JUNCTION-30,JUNCTION-45,JUNCTION-90
7.010930363864056880e-02,2.633543251464611785e+02,2.633575621937102369e+02,2.641051458744316847e+02,3.539470352852098358e+02,2.640412680032164872e+02
7.511711104140061934e-02,2.633543251464617470e+02,2.633575621936781204e+02,2.641051458744819342e+02,3.539470352852135875e+02,2.640412680031968193e+02
8.012491844416065601e-02,2.633543251464623154e+02,2.633575621936467428e+02,2.641051458745216109e+02,3.539470352852163728e+02,2.640412680032426351e+02
8.513272584692069267e-02,2.633543251464628838e+02,2.633575621936146263e+02,2.641051458745719742e+02,3.539470352852197834e+02,2.640412680032227968e+02
9.014053324968074321e-02,2.633543251464633386e+02,2.633575621935831919e+02,2.641051458746117646e+02,3.539470352852226824e+02,2.640412680032688399e+02
9.514834065244077987e-02,2.633543251464637933e+02,2.633575621935511322e+02,2.641051458746619005e+02,3.539470352852262067e+02,2.640412668292576086e+02
1.001561480552008165e-01,2.633543251464644754e+02,2.633575621935197546e+02,2.641051458747016909e+02,3.539470352852291057e+02,2.640412668293037655e+02
1.051639554579608671e-01,2.633543251464649302e+02,2.633575621934875244e+02,2.641051458747520542e+02,3.539470352852325732e+02,2.640412668292938179e+02
1.101717628607209037e-01,2.633543251464654986e+02,2.633575621934561468e+02,2.641051458747916172e+02,3.539470352852353585e+02,2.640412656683767523e+02
1.151795702634809404e-01,2.633543251464657828e+02,2.633575621934241440e+02,2.641051458748419236e+02,3.539470352852390533e+02,2.640412669981321869e+02
1.201873776662409909e-01,2.633543251464666355e+02,2.633575621933929369e+02,2.641051458748817709e+02,3.539470352852418387e+02,2.640412669982342777e+02
1.251951850690010137e-01,2.633543251464672608e+02,2.633575621933605362e+02,2.641051458749319636e+02,3.539470352852453630e+02,2.640412669982210332e+02
1.302029924717610643e-01,2.633543251464676587e+02,2.633575621933291586e+02,2.641051458749715835e+02,3.539470352852483188e+02,2.640412669983231240e+02
1.352107998745211148e-01,2.633543251464681134e+02,2.633575621932970989e+02,2.641051458750219467e+02,3.539470352852518999e+02,2.640412669983097089e+02
1.402186072772811376e-01,2.633543251464686819e+02,2.633575621932658350e+02,2.641051458750619076e+02,3.539470352852547421e+02,2.640412677279899185e+02
1.452264146800411881e-01,2.633543251464689092e+02,2.633575621932336617e+02,2.641051458751120435e+02,3.539470352852579822e+02,2.640412710659354047e+02
1.502342220828012387e-01,2.633543251464699324e+02,2.633575621932025683e+02,2.641051458751518339e+02,3.539470352852609381e+02,2.640412713158378892e+02
1.552420294855612615e-01,2.633543251464703872e+02,2.633575621931703949e+02,2.641051458752020835e+02,3.539470352852645760e+02,2.640412713158305564e+02
1.602498368883213120e-01,2.633543251464709556e+02,2.633575621931389605e+02,2.641051458752417602e+02,3.539470352852672477e+02,2.640412703338253664e+02
1.652576442910813626e-01,2.633543251464712966e+02,2.633575621931071851e+02,2.641051458752918961e+02,3.539470352852706583e+02,2.640412681295614448e+02
1.702654516938413853e-01,2.633543251464718651e+02,2.633575621930756938e+02,2.641051458753317434e+02,3.539470352852734436e+02,2.640412681629752001e+02
1.752732590966014359e-01,2.633543251464725472e+02,2.633575621930434636e+02,2.641051458753819929e+02,3.539470352852773090e+02,2.640412681629712779e+02
1.802810664993614864e-01,2.633543251464730020e+02,2.633575621930120292e+02,2.641051458754216128e+02,3.539470352852800374e+02,2.640412681630683664e+02
1.852888739021215092e-01,2.633543251464736272e+02,2.633575621929802537e+02,2.641051458754719761e+02,3.539470352852835617e+02,2.640412679718112372e+02
1.902966813048815597e-01,2.633543251464740251e+02,2.633575621929488761e+02,2.641051458755116528e+02,3.539470352852864039e+02,2.640412679719086100e+02
1.953044887076416103e-01,2.633543251464747073e+02,2.633575621929169301e+02,2.641051458755618455e+02,3.539470352852900987e+02,2.640412679719122480e+02
2.003122961104016331e-01,2.633543251464751620e+02,2.633575621928856094e+02,2.641051458756016359e+02,3.539470352852925430e+02,2.640412677039722666e+02
2.053201035131616836e-01,2.633543251464757873e+02,2.633575621928535497e+02,2.641051458756521129e+02,3.539470352852962947e+02,2.640412670143123819e+02
2.103279109159217342e-01,2.633543251464762989e+02,2.633575621928222859e+02,2.641051458756915622e+02,3.539470352852990800e+02,2.640412668633668432e+02
2.153357183186817569e-01,2.633543251464767536e+02,2.633575621927902262e+02,2.641051458757418118e+02,3.539470352853026611e+02,2.640412682005007809e+02
