Time,JUNCTION-16,JUNCTION-20,JUNCTION-30,JUNCTION-45,JUNCTION-90
8.863864974343942382e-01,2.633543447293907320e+02,2.633575677343710026e+02,2.641051500566597952e+02,3.539470376699574103e+02,2.640412672366431934e+02
8.940277603433114395e-01,2.633543445674758345e+02,2.633575677195163962e+02,2.641051499414103318e+02,3.539470375661323374e+02,2.640412678686649315e+02
9.016690232522286408e-01,2.633543398791505865e+02,2.633575677149802345e+02,2.641051501979687828e+02,3.539470377207625802e+02,2.640412672506707850e+02
9.093102861611458421e-01,2.633543390286559998e+02,2.633575675773990383e+02,2.641051500918550232e+02,3.539470385472357066e+02,2.640412638388678488e+02
9.169515490700630433e-01,2.633543380131671370e+02,2.633575675730812122e+02,2.641051501543121844e+02,3.539470383269849663e+02,2.640412636054333007e+02
9.245928119789802446e-01,2.633543378001901374e+02,2.633575675430877823e+02,2.641051500747914247e+02,3.539470384854404870e+02,2.640412648573839647e+02
9.322340748878974459e-01,2.633543360137339278e+02,2.633575674836042140e+02,2.641015766713712765e+02,3.539470384761050354e+02,2.640412643815272986e+02
9.398753377968145362e-01,2.633543357482695342e+02,2.633575674756837088e+02,2.640979176860653297e+02,3.539470384906078948e+02,2.640412632596308526e+02
9.475166007057317374e-01,2.633543355930954704e+02,2.633575640659533406e+02,2.640941769762313811e+02,3.539470386789348595e+02,2.640412629565400380e+02
9.551578636146489387e-01,2.633543325655567742e+02,2.633575643572290232e+02,2.640903462317746175e+02,3.539470385634892295e+02,2.640412630051208680e+02
9.627991265235661400e-01,2.633543331155455007e+02,2.633575642840231126e+02,2.640864275301813109e+02,3.539470384386232240e+02,2.640412614613119899e+02
9.704403894324833413e-01,2.633543336087874991e+02,2.633575642266002887e+02,2.640824144706305674e+02,3.539470380700419128e+02,2.640412595880876552e+02
9.780816523414005426e-01,2.633543353542381737e+02,2.633575644160596880e+02,2.640783064275841525e+02,3.539470380265610174e+02,2.640412593388649611e+02
9.857229152503177438e-01,2.633543350700726933e+02,2.633575645609477078e+02,2.640740969190209171e+02,3.539470379860022717e+02,2.640412595365197603e+02
9.933641781592349451e-01,2.633543349353444682e+02,2.633575636226825054e+02,2.640697871477145213e+02,3.539470378888248092e+02,2.640412605068419793e+02
1.001005441068152146e+00,2.633543353712196904e+02,2.633575637950667101e+02,2.640653691932882339e+02,3.539470384929252305e+02,2.640412600383536414e+02
1.008646703977069237e+00,2.633543357654810961e+02,2.633575637702197128e+02,2.640608438331007051e+02,3.539470378032446547e+02,2.640412606014809285e+02
1.016287966885986549e+00,2.633543358664910556e+02,2.633575638128619403e+02,2.640562015862166731e+02,3.539470376455541327e+02,2.640412604567153494e+02
1.023929229794903639e+00,2.633543351470194693e+02,2.633575638811426529e+02,2.640514453349267683e+02,3.539470372801106919e+02,2.640412607824045494e+02
1.031570492703820952e+00,2.633543347556563390e+02,2.633575639449518917e+02,2.640465659777301539e+02,3.539470371986215582e+02,2.640412597453317289e+02
1.039211755612738042e+00,2.633543352860523328e+02,2.633575635047506012e+02,2.640415635986583425e+02,3.539470371072339958e+02,2.640412595438120889e+02
1.046853018521655354e+00,2.633543371313020884e+02,2.633575634129056766e+02,2.640364284419976002e+02,3.539470370687535024e+02,2.640412607863197536e+02
1.054494281430572444e+00,2.633543416460998401e+02,2.633575632338889250e+02,2.640311608715709895e+02,3.539470368455849325e+02,2.640412604095783990e+02
1.062135544339489757e+00,2.633543413906398314e+02,2.633575631942465520e+02,2.640257516835790739e+02,3.539470369608586680e+02,2.640412603470504678e+02
1.069776807248406847e+00,2.633543400822115927e+02,2.633575632081060007e+02,2.640201993088094241e+02,3.539470369698073000e+02,2.640412617575287300e+02
1.077418070157323937e+00,2.633543400775550367e+02,2.633575632456422113e+02,2.640144950923877900e+02,3.539470377191380521e+02,2.640412616072297283e+02
1.085059333066241249e+00,2.633543371211242174e+02,2.633575633934030975e+02,2.640086366045298973e+02,3.539470377368032814e+02,2.640412605425397601e+02
1.092700595975158340e+00,2.633543365292078988e+02,2.633575633720233213e+02,2.640026161099560227e+02,3.539470377450601291e+02,2.640412598420575705e+02
1.100341858884075652e+00,2.633543349731805847e+02,2.633575634621718109e+02,2.639964303319661099e+02,3.539470365532368419e+02,2.640412588825975604e+02
1.107983121792992742e+00,2.633543353613861768e+02,2.633575632226920220e+02,2.639900690065310300e+02,3.539470364591400084e+02,2.640412588855257354e+02
1.115624384701910055e+00,2.633543334359027881e+02,2.633575630618231571e+02,2.639835296421678095e+02,3.539470367969109930e+02,2.640412587583267623e+02
1.123265647610827145e+00,2.633543318505247726e+02,2.633575630703193156e+02,2.639768004840276490e+02,3.539470376048497542e+02,2.640412600295473453e+02
1.130906910519744457e+00,2.633543314912928963e+02,2.633575589099535819e+02,2.639698786424648915e+02,3.539470377376380839e+02,2.640412616125666432e+02
1.138548173428661547e+00,2.633543323184603082e+02,2.633575589529198169e+02,2.639627525921013103e+02,3.539470377449484886e+02,2.640412620132862003e+02
1.146189436337578860e+00,2.633543313367954397e+02,2.633575589704303184e+02,2.639554183896482300e+02,3.539470381642803432e+02,2.640412619302264261e+02
1.153830699246495950e+00,2.633543303139980480e+02,2.633575588865987243e+02,2.639478633175946811e+02,3.539470382482423361e+02,2.640412628457474398e+02
1.161471962155413040e+00,2.633543302401059236e+02,2.633575590212265638e+02,2.639400827008409465e+02,3.539470381338852008e+02,2.640412619449365366e+02
1.169113225064330353e+00,2.633543278855790959e+02,2.633575587420135662e+02,2.639320626737013527e+02,3.539470377976556961e+02,2.640412628960213510e+02
1.176754487973247443e+00,2.633543272680959717e+02,2.633575589552547171e+02,2.639237985960502897e+02,3.539470380063354469e+02,2.640412611387122865e+02
1.184395750882164755e+00,2.633543276692274162e+02,2.633575592363607143e+02,2.639152750072681783e+02,3.539470379126626085e+02,2.640412603378819085e+02
1.192037013791081845e+00,2.633543283457815960e+02,2.633575594584372652e+02,2.639064857461510201e+02,3.539470378969486433e+02,2.640412615040534092e+02
1.199678276699999158e+00,2.633543293245045902e+02,2.633575594550823098e+02,2.638974150507268064e+02,3.539470368643220013e+02,2.640412599267034466e+02
1.207319539608916248e+00,2.633543296788068346e+02,2.633575593561549795e+02,2.638880545136314595e+02,3.539470366391668676e+02,2.640412598948389586e+02
1.214960802517833560e+00,2.633543310136702189e+02,2.633575604240859889e+02,2.638783874942787975e+02,3.539470366812997781e+02,2.640412603686217494e+02
1.222602065426750650e+00,2.633543298492377289e+02,2.633575605151589798e+02,2.638684047771095607e+02,3.539470364175277268e+02,2.640412597612969421e+02
1.230243328335667963e+00,2.633543269418500472e+02,2.633575606385460333e+02,2.638580879538445743e+02,3.539470359990290262e+02,2.640412599927456654e+02
1.237884591244585053e+00,2.633543257677127372e+02,2.633575607677255448e+02,2.638474271517756051e+02,3.539470358811158235e+02,2.640412604661057685e+02
1.245525854153502143e+00,2.633543249850947063e+02,2.633575605443872973e+02,2.638364015314003836e+02,3.539470359023384844e+02,2.640412620057717277e+02
1.253167117062419456e+00,2.633543277912854705e+02,2.633575605035505305e+02,2.638249981191153779e+02,3.539470361758902754e+02,2.640412627412945881e+02
1.260808379971336546e+00,2.633543279444726295e+02,2.633575603401111493e+02,2.638131961583695784e+02,3.539470366204773768e+02,2.640412613375852970e+02
1.268449642880253858e+00,2.633543238788404892e+02,2.633575601903877441e+02,2.638009806955997192e+02,3.539470366439589952e+02,2.640412609202539329e+02
1.276090905789170948e+00,2.633543230838098452e+02,2.633575602661872495e+02,2.637883279387316406e+02,3.539470368673411826e+02,2.640412605854104982e+02
1.283732168698088261e+00,2.633543232508347955e+02,2.633575607084966350e+02,2.637752207689206898e+02,3.539470366919221078e+02,2.640412606284874641e+02
1.291373431607005351e+00,2.633543234176063379e+02,2.633575604022952916e+02,2.637616333109548350e+02,3.539470367215117221e+02,2.640412598548783194e+02
1.299014694515922663e+00,2.633543197121314279e+02,2.633575606401373079e+02,2.637475453971776460e+02,3.539470366318947185e+02,2.640412586713368341e+02
1.306655957424839754e+00,2.633543200226517342e+02,2.633575610617349980e+02,2.637329279776688509e+02,3.539470370727040063e+02,2.640412597489443556e+02
