Time,JUNCTION-30,JUNCTION-16,JUNCTION-20,JUNCTION-45,JUNCTION-90
2.139553614496813583e-01,2.641051458782179679e+02,2.633543251464767536e+02,2.633575621924188113e+02,3.539470352850103154e+02,2.640412670133549682e+02
2.215966243585985596e-01,2.641051458782949339e+02,2.633543251464778905e+02,2.633575621923702670e+02,3.539470352850153745e+02,2.640412682617271116e+02
2.292378872675157608e-01,2.641051458783552448e+02,2.633543251464784589e+02,2.633575621923228596e+02,3.539470365087424284e+02,2.640412682617948690e+02
2.368791501764329344e-01,2.641051458784319834e+02,2.633543251464793684e+02,2.633575618290395823e+02,3.539470365087521486e+02,2.640412682250363332e+02
2.445204130853501356e-01,2.641051458784928059e+02,2.633543251464798232e+02,2.633575618289554541e+02,3.539470365087514665e+02,2.640412680218549895e+02
2.521616759942673092e-01,2.641051458785697150e+02,2.633543251464810737e+02,2.633575618289146405e+02,3.539470365087610730e+02,2.640412662881620349e+02
2.598029389031845104e-01,2.641051458786300827e+02,2.633543251464816422e+02,2.633575618288305691e+02,3.539470365087607320e+02,2.640412655428535231e+02
2.674442018121017117e-01,2.641051458787070487e+02,2.633543251464825516e+02,2.633575618287899260e+02,3.539470365087706227e+02,2.640412652871785326e+02
2.750854647210189130e-01,2.641051458787677007e+02,2.633543251464831769e+02,2.633575618287058546e+02,3.539470365087701680e+02,2.640412633939805005e+02
2.827267276299361143e-01,2.641051458788443824e+02,2.633543251464842569e+02,2.633575618286650410e+02,3.539470365087800019e+02,2.640412633665209796e+02
2.903679905388532601e-01,2.641051458789050344e+02,2.633543179495632103e+02,2.633575618285811402e+02,3.539470365087792629e+02,2.640412625822013979e+02
2.980092534477704613e-01,2.641051458789819435e+02,2.633543179495633240e+02,2.633575648284432873e+02,3.539470365087889832e+02,2.640412598925455541e+02
3.056505163566876626e-01,2.641051458790424817e+02,2.633543179495758295e+02,2.633575648283268720e+02,3.539470365087888695e+02,2.640412605021047057e+02
3.132917792656048639e-01,2.641051458791191067e+02,2.633543194163161729e+02,2.633575650563878412e+02,3.539470365087983623e+02,2.640412607342050251e+02
3.209330421745220652e-01,2.641051458791799860e+02,2.633543194163288490e+02,2.633575650562742112e+02,3.539470365087980213e+02,2.640412608576025377e+02
3.285743050834392665e-01,2.641051458792565541e+02,2.633543212169523713e+02,2.633575650561983252e+02,3.539470338564109966e+02,2.640412612030888795e+02
3.362155679923564122e-01,2.641051458793172628e+02,2.633543206711477751e+02,2.633575650560852068e+02,3.539470338564150893e+02,2.640412611303083281e+02
3.438568309012736135e-01,2.641051458793938309e+02,2.633543239356033041e+02,2.633575657275905542e+02,3.539470338564434542e+02,2.640412608678732909e+02
3.514980938101908148e-01,2.641051458794545965e+02,2.633543239356197887e+02,2.633575657275090975e+02,3.539470356861144751e+02,2.640412628043313248e+02
3.591393567191080161e-01,2.641051464834155809e+02,2.633543241109818496e+02,2.633575657273390220e+02,3.539470356970339253e+02,2.640412619361226234e+02
3.667806196280252173e-01,2.641051544710053918e+02,2.633543260885661539e+02,2.633575657272577928e+02,3.539470357086959780e+02,2.640412610792177475e+02
3.744218825369424186e-01,2.641051544896929499e+02,2.633543266716490621e+02,2.633575657270880583e+02,3.539470367590720912e+02,2.640412611208910789e+02
3.820631454458595644e-01,2.641051545097576536e+02,2.633543266885828871e+02,2.633575657270068291e+02,3.539470367429800035e+02,2.640412619579022930e+02
3.897044083547767657e-01,2.641051545283780229e+02,2.633543325009135856e+02,2.633575656774594904e+02,3.539470367273694933e+02,2.640412614851411490e+02
3.973456712636939669e-01,2.641051545483726954e+02,2.633543333018270118e+02,2.633575656773903688e+02,3.539470367750832906e+02,2.640412609375086959e+02
4.049869341726111682e-01,2.641051545669259895e+02,2.633543336267940731e+02,2.633575656772381421e+02,3.539470367604275225e+02,2.640412614183842948e+02
4.126281970815283695e-01,2.641051545868505173e+02,2.633543335041763953e+02,2.633575656771688500e+02,3.539470367451091306e+02,2.640412620034110773e+02
4.202694599904455708e-01,2.641051546053374182e+02,2.633543339293737517e+02,2.633575656770163960e+02,3.539470367318958210e+02,2.640412634054947034e+02
4.279107228993627166e-01,2.641051540947324270e+02,2.633543340665559640e+02,2.633575656769474449e+02,3.539470349254963253e+02,2.640412648261237223e+02
4.355519858082799178e-01,2.641051541131528779e+02,2.633543346221848083e+02,2.633575656767953888e+02,3.539470349129748570e+02,2.640412627173374744e+02
4.431932487171971191e-01,2.641051541329395036e+02,2.633543347946671815e+02,2.633575656767258124e+02,3.539470348924814402e+02,2.640412619834293082e+02
4.508345116261143204e-01,2.641051541512931635e+02,2.633543350120306741e+02,2.633575656643512275e+02,3.539470348504870003e+02,2.640412639354926227e+02
4.584757745350315217e-01,2.641051541710108950e+02,2.633543350464206014e+02,2.633575656642908598e+02,3.539470348373801585e+02,2.640412643367304213e+02
4.661170374439487230e-01,2.641051541892982755e+02,2.633543335078232417e+02,2.633575657003185029e+02,3.539470348238303927e+02,2.640412622272575618e+02
4.737583003528658687e-01,2.641051542089468285e+02,2.633543336792350260e+02,2.633575657002600110e+02,3.539470353128090778e+02,2.640412616947527340e+02
4.813995632617830700e-01,2.641051542271686685e+02,2.633543337533316731e+02,2.633575657001132413e+02,3.539470357184536056e+02,2.640412617952812866e+02
4.890408261707002713e-01,2.641051542467484978e+02,2.633543303496585963e+02,2.633575657000549199e+02,3.539470357056850958e+02,2.640412610850031001e+02
4.966820890796174726e-01,2.641051544219239418e+02,2.633543297672102881e+02,2.633575654780073592e+02,3.539470356939729072e+02,2.640412613036680796e+02
5.043233519885346183e-01,2.641051548263691302e+02,2.633543298325640762e+02,2.633575654779384649e+02,3.539470356192566101e+02,2.640412620972722948e+02
5.119646148974518196e-01,2.641051548444605146e+02,2.633543296442360315e+02,2.633575654777950490e+02,3.539470356066736372e+02,2.640412612195044062e+02
5.196058778063690209e-01,2.641051548639045450e+02,2.633543296539778567e+02,2.633575654777262685e+02,3.539470354949100965e+02,2.640412609390112948e+02
5.272471407152862222e-01,2.641051548819304458e+02,2.633543291910749531e+02,2.633575654246934050e+02,3.539470354613901577e+02,2.640412621821444077e+02
5.348884036242034234e-01,2.641051549013067756e+02,2.633543290741397414e+02,2.633575654246239424e+02,3.539470363743226926e+02,2.640412627023046639e+02
5.425296665331206247e-01,2.641051551874400047e+02,2.633543282289720651e+02,2.633575654163599324e+02,3.539470363590173747e+02,2.640412641656669734e+02
5.501709294420378260e-01,2.641051552067498278e+02,2.633543282533366323e+02,2.633575654162929709e+02,3.539470363474162014e+02,2.640412649838004882e+02
5.578121923509550273e-01,2.641051552246423739e+02,2.633543264398748533e+02,2.633575654961447299e+02,3.539470371030273554e+02,2.640412650130450061e+02
5.654534552598722286e-01,2.641051551677517182e+02,2.633543269381087271e+02,2.633575654960811221e+02,3.539470370951324298e+02,2.640412645120049433e+02
