Time,JUNCTION-73
0.000000000000000000e+00,0.000000000000000000e+00
4.996054891020853227e-03,0.000000000000000000e+00
9.992109782041706453e-03,0.000000000000000000e+00
1.498816467306255881e-02,0.000000000000000000e+00
1.998421956408341291e-02,0.000000000000000000e+00
2.498027445510426700e-02,0.000000000000000000e+00
2.997632934612511763e-02,0.000000000000000000e+00
3.497238423714597172e-02,0.000000000000000000e+00
3.996843912816682581e-02,0.000000000000000000e+00
4.496449401918767991e-02,0.000000000000000000e+00
4.996054891020853400e-02,0.000000000000000000e+00
5.495660380122938810e-02,0.000000000000000000e+00
5.995265869225023525e-02,0.000000000000000000e+00
6.494871358327108934e-02,0.000000000000000000e+00
6.994476847429194344e-02,0.000000000000000000e+00
7.494082336531279753e-02,0.000000000000000000e+00
7.993687825633365163e-02,0.000000000000000000e+00
8.493293314735450572e-02,0.000000000000000000e+00
8.992898803837535981e-02,0.000000000000000000e+00
9.492504292939621391e-02,0.000000000000000000e+00
9.992109782041706800e-02,0.000000000000000000e+00
1.049171527114379221e-01,0.000000000000000000e+00
1.099132076024587762e-01,0.000000000000000000e+00
1.149092624934796303e-01,0.000000000000000000e+00
1.199053173845004705e-01,0.000000000000000000e+00
1.249013722755213246e-01,0.000000000000000000e+00
1.298974271665421787e-01,0.000000000000000000e+00
1.348934820575630467e-01,0.000000000000000000e+00
1.398895369485838869e-01,0.000000000000000000e+00
1.448855918396047548e-01,0.000000000000000000e+00
1.498816467306255951e-01,0.000000000000000000e+00
1.548777016216464630e-01,0.000000000000000000e+00
1.598737565126673033e-01,0.000000000000000000e+00
1.648698114036881435e-01,0.000000000000000000e+00
1.698658662947090114e-01,0.000000000000000000e+00
1.748619211857298517e-01,0.000000000000000000e+00
1.798579760767507196e-01,0.000000000000000000e+00
1.848540309677715598e-01,0.000000000000000000e+00
1.898500858587924278e-01,0.000000000000000000e+00
1.948461407498132680e-01,0.000000000000000000e+00
1.998421956408341360e-01,0.000000000000000000e+00
2.048382505318549762e-01,0.000000000000000000e+00
2.098343054228758442e-01,0.000000000000000000e+00
2.148303603138966844e-01,0.000000000000000000e+00
2.198264152049175524e-01,0.000000000000000000e+00
2.248224700959383926e-01,0.000000000000000000e+00
2.298185249869592606e-01,0.000000000000000000e+00
2.348145798779801008e-01,0.000000000000000000e+00
2.398106347690009410e-01,0.000000000000000000e+00
2.448066896600218090e-01,0.000000000000000000e+00
2.498027445510426492e-01,0.000000000000000000e+00
2.547987994420635172e-01,0.000000000000000000e+00
2.597948543330843574e-01,0.000000000000000000e+00
2.647909092241051976e-01,0.000000000000000000e+00
2.697869641151260933e-01,0.000000000000000000e+00
2.747830190061469335e-01,0.000000000000000000e+00
2.797790738971677738e-01,0.000000000000000000e+00
2.847751287881886140e-01,0.000000000000000000e+00
2.897711836792095097e-01,0.000000000000000000e+00
2.947672385702303499e-01,0.000000000000000000e+00
2.997632934612511901e-01,0.000000000000000000e+00
3.047593483522720303e-01,0.000000000000000000e+00
3.097554032432929261e-01,0.000000000000000000e+00
3.147514581343137663e-01,0.000000000000000000e+00
3.197475130253346065e-01,0.000000000000000000e+00
3.247435679163554467e-01,0.000000000000000000e+00
3.297396228073762869e-01,0.000000000000000000e+00
3.347356776983971827e-01,0.000000000000000000e+00
3.397317325894180229e-01,0.000000000000000000e+00
3.447277874804388631e-01,0.000000000000000000e+00
3.497238423714597033e-01,0.000000000000000000e+00
3.547198972624805990e-01,0.000000000000000000e+00
3.597159521535014393e-01,0.000000000000000000e+00
3.647120070445222795e-01,0.000000000000000000e+00
3.697080619355431197e-01,0.000000000000000000e+00
3.747041168265640154e-01,0.000000000000000000e+00
3.797001717175848556e-01,0.000000000000000000e+00
3.846962266086056959e-01,0.000000000000000000e+00
3.896922814996265361e-01,0.000000000000000000e+00
3.946883363906474318e-01,0.000000000000000000e+00
3.996843912816682720e-01,0.000000000000000000e+00
4.046804461726891122e-01,0.000000000000000000e+00
4.096765010637099524e-01,0.000000000000000000e+00
4.146725559547307927e-01,0.000000000000000000e+00
4.196686108457516884e-01,0.000000000000000000e+00
4.246646657367725286e-01,0.000000000000000000e+00
4.296607206277933688e-01,0.000000000000000000e+00
4.346567755188142090e-01,0.000000000000000000e+00
4.396528304098351048e-01,0.000000000000000000e+00
4.446488853008559450e-01,0.000000000000000000e+00
4.496449401918767852e-01,0.000000000000000000e+00
4.546409950828976254e-01,0.000000000000000000e+00
4.596370499739185211e-01,0.000000000000000000e+00
4.646331048649393614e-01,0.000000000000000000e+00
4.696291597559602016e-01,0.000000000000000000e+00
4.746252146469810418e-01,0.000000000000000000e+00
4.796212695380018820e-01,0.000000000000000000e+00
4.846173244290227777e-01,0.000000000000000000e+00
4.896133793200436179e-01,0.000000000000000000e+00
4.946094342110644582e-01,0.000000000000000000e+00
4.996054891020852984e-01,0.000000000000000000e+00
5.046015439931061941e-01,0.000000000000000000e+00
5.095975988841270343e-01,0.000000000000000000e+00
5.145936537751478745e-01,0.000000000000000000e+00
5.195897086661687148e-01,0.000000000000000000e+00
5.245857635571895550e-01,0.000000000000000000e+00
5.295818184482103952e-01,0.000000000000000000e+00
5.345778733392313464e-01,0.000000000000000000e+00
5.395739282302521866e-01,0.000000000000000000e+00
5.445699831212730269e-01,0.000000000000000000e+00
5.495660380122938671e-01,0.000000000000000000e+00
5.545620929033147073e-01,0.000000000000000000e+00
5.595581477943355475e-01,0.000000000000000000e+00
5.645542026853563877e-01,0.000000000000000000e+00
5.695502575763772279e-01,0.000000000000000000e+00
5.745463124673980682e-01,0.000000000000000000e+00
5.795423673584190194e-01,0.000000000000000000e+00
5.845384222494398596e-01,0.000000000000000000e+00
5.895344771404606998e-01,0.000000000000000000e+00
5.945305320314815400e-01,0.000000000000000000e+00
5.995265869225023803e-01,0.000000000000000000e+00
6.045226418135232205e-01,0.000000000000000000e+00
6.095186967045440607e-01,0.000000000000000000e+00
6.145147515955649009e-01,0.000000000000000000e+00
6.195108064865858521e-01,0.000000000000000000e+00
6.245068613776066924e-01,0.000000000000000000e+00
6.295029162686275326e-01,0.000000000000000000e+00
6.344989711596483728e-01,0.000000000000000000e+00
6.394950260506692130e-01,0.000000000000000000e+00
6.444910809416900532e-01,0.000000000000000000e+00
6.494871358327108934e-01,0.000000000000000000e+00
6.544831907237317337e-01,0.000000000000000000e+00
6.594792456147525739e-01,0.000000000000000000e+00
6.644753005057735251e-01,0.000000000000000000e+00
6.694713553967943653e-01,0.000000000000000000e+00
6.744674102878152055e-01,0.000000000000000000e+00
6.794634651788360458e-01,0.000000000000000000e+00
6.844595200698568860e-01,0.000000000000000000e+00
6.894555749608777262e-01,0.000000000000000000e+00
6.944516298518985664e-01,0.000000000000000000e+00
6.994476847429194066e-01,0.000000000000000000e+00
7.044437396339403579e-01,0.000000000000000000e+00
7.094397945249611981e-01,0.000000000000000000e+00
7.144358494159820383e-01,0.000000000000000000e+00
7.194319043070028785e-01,0.000000000000000000e+00
7.244279591980237187e-01,0.000000000000000000e+00
7.294240140890445590e-01,0.000000000000000000e+00
